0 
2 0 
9 0 
5 0 
7 0 
1 0 
4 0 
7 2 0 
9 5 0 
2 5 0 
3 9 0 
7 4 0 
2 1 0 
7 9 0 
5 2 0 
4 9 0 
8 11 0 
4 1 0 
6 1 0 
9 2 0 
6 9 0 
9 3 0 
1 4 0 
5 10 0 
6 0 8 0 
4 7 9 0 
7 5 2 0 
2 4 1 0 
9 2 5 0 
7 9 3 0 
7 4 2 0 
1 6 2 0 
7 1 4 0 
1 4 2 0 
7 4 1 0 
9 6 5 0 
1 10 5 0 
7 9 2 0 
4 9 3 0 
6 1 8 0 
1 4 10 0 
4 3 9 0 
7 9 11 0 
2 7 1 0 
5 11 8 0 
6 9 5 0 
10 0 7 0 
6 1 2 0 
7 5 10 0 
5 2 9 0 
8 1 4 0 
7 3 9 0 
4 1 8 0 
7 2 5 0 
7 8 11 0 
6 1 9 0 
8 0 4 0 
2 8 0 0 
2 9 0 0 
9 6 4 0 
9 11 5 0 
4 1 10 0 
1 5 10 2 0 
7 10 0 7 0 
1 3 11 0 0 
8 0 5 2 0 
7 11 8 7 0 
1 3 10 0 0 
5 11 3 9 0 
4 7 2 9 0 
2 4 1 2 0 
4 6 9 5 0 
8 0 10 5 0 
4 7 9 5 0 
10 0 8 6 0 
2 6 9 1 0 
1 6 2 1 0 
7 9 3 11 0 
2 7 4 1 0 
5 11 9 3 0 
9 6 1 4 0 
2 9 1 4 0 
7 5 11 2 0 
2 7 9 0 0 
2 1 2 1 0 
4 9 2 5 0 
9 6 2 5 0 
6 9 2 5 0 
6 1 9 2 0 
7 1 4 10 0 
4 6 9 4 0 
1 9 3 1 0 
6 1 4 2 0 
1 10 5 2 0 
7 10 5 7 0 
4 1 9 2 0 
9 1 4 9 0 
1 3 11 1 0 
9 7 2 5 0 
1 6 9 2 0 
6 9 1 4 0 
5 8 11 5 0 
4 7 9 3 0 
7 9 11 5 0 
5 3 11 9 0 
9 11 5 2 0 
7 5 3 11 0 
2 1 4 2 0 
10 1 6 10 0 
4 7 9 2 0 
7 5 2 11 0 
10 0 7 2 0 
7 9 11 3 0 
1 7 2 1 0 
10 0 8 7 0 
10 1 4 7 0 
1 3 9 0 0 
5 11 9 7 0 
1 3 9 1 0 
9 6 5 2 0 
2 5 8 0 0 
6 9 5 2 0 
2 8 0 2 0 
7 1 10 2 0 
1 6 4 2 0 
7 5 10 7 0 
9 3 11 5 0 
1 7 4 2 0 
7 8 0 10 0 
